id,actual,predicted
0,0,-18
1,0,-18
2,0,-18
3,0,-17
4,0,-17
5,0,-17
6,0,-17
7,0,-18
8,0,-19
9,0,-19
10,0,-20
11,0,-21
12,0,-22
13,0,-22
14,0,-22
15,0,-23
16,0,-23
17,0,-23
18,0,-23
19,0,-25
20,0,-26
21,0,-26
22,0,-26
23,0,-25
24,0,-23
25,0,-23
26,0,-24
27,0,-27
28,0,-27
29,0,-27
30,0,-27
31,0,-27
32,0,-26
33,0,-24
34,0,-23
35,0,-22
36,0,-19
37,0,-17
38,0,-14
39,0,-10
40,0,-6
41,0,-2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,8,0
65,23,0
66,48,0
67,83,21
68,129,64
69,185,96
70,248,111
71,316,144
72,388,177
73,465,315
74,539,466
75,618,624
76,701,777
77,792,943
78,901,1003
79,1022,1202
80,1160,1422
81,1318,1649
82,1508,1873
83,1712,2107
84,1950,2358
85,2197,2658
86,2472,2965
87,2771,3287
88,3066,3604
89,3399,3927
90,3723,4254
91,4059,4579
92,4427,4918
93,4807,5207
94,5187,5538
95,5573,5884
96,5965,6219
97,6367,6554
98,6738,6889
99,7126,7227
100,7520,7537
101,7908,7875
102,8273,8214
103,8646,8551
104,8976,8889
105,9333,9216
106,9699,9553
107,10029,9891
108,10383,10230
109,10758,10541
110,11123,10854
111,11417,11122
112,11753,11431
113,12035,11740
114,12351,12049
115,12587,12345
116,12886,12614
117,13168,12908
118,13512,13135
119,13763,13413
120,14079,13692
121,14395,13945
122,14636,14175
123,14881,14439
124,15069,14689
125,15267,14916
126,15576,15163
127,15823,15378
128,16128,15588
129,16393,15694
130,16507,15904
131,16833,16123
132,16844,16319
133,17122,16480
134,17056,16642
135,16854,16802
136,16840,16971
137,17703,17132
138,17903,17289
139,18010,17403
140,18185,17540
141,18188,17666
142,18322,17769
143,18627,17891
144,18578,18015
145,18632,18076
146,18426,18159
147,18704,18240
148,17034,18201
149,19054,18273
150,18945,18343
151,16131,18384
152,18960,18416
153,19021,18457
154,18971,18488
155,18930,18520
156,19421,18561
157,19032,18547
158,18809,18537
159,15243,18533
160,19335,18519
161,19110,18508
162,15923,18494
163,18657,18444
164,15390,18395
165,19089,18367
166,18697,18317
167,18403,18257
168,18310,18217
169,18891,18041
170,3908,17858
171,18400,17688
172,17770,17512
173,6776,17306
174,18386,17640
175,5293,17476
176,6890,17323
177,14083,17156
178,15714,16994
179,16805,16838
180,11139,16669
181,15978,16517
182,12563,16365
183,15795,16206
184,15783,16052
185,11676,15899
186,8075,15604
187,15651,15215
188,15106,14825
189,7942,14407
190,15001,13985
191,14416,13585
192,13489,13634
193,13333,13426
194,12565,13191
195,3337,12970
196,11189,12761
197,11355,12537
198,11309,12315
199,11273,11996
200,10744,11690
201,10073,11369
202,9670,11051
203,9471,10744
204,9163,10773
205,8829,10439
206,8820,10082
207,8131,9751
208,7622,9417
209,5831,9059
210,5199,9181
211,6489,8804
212,5962,8444
213,5552,8058
214,5273,7684
215,4809,7338
216,4340,7163
217,3977,6830
218,3609,6499
219,3257,6203
220,2903,5861
221,2615,5545
222,2249,5206
223,1975,4879
224,1745,4554
225,1501,4210
226,1291,3892
227,1111,3577
228,961,3266
229,837,2979
230,737,2710
231,654,2423
232,587,2171
233,522,1917
234,461,1523
235,398,1356
236,338,1173
237,276,1019
238,215,863
239,161,702
240,112,477
241,71,407
242,39,328
243,19,261
244,5,194
245,1,117
246,0,37
247,0,37
248,0,16
249,0,16
250,0,14
251,0,-5
252,0,3
253,0,3
254,0,3
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,-1
263,0,-1
264,0,-20
265,0,-23
266,0,-24
267,0,-28
268,0,-29
269,0,-29
270,0,-26
271,0,-27
272,0,-28
273,0,-29
274,0,-29
275,0,-28
276,0,-23
277,0,-25
278,0,-26
279,0,-29
280,0,-29
281,0,-28
282,0,-6
283,0,-6
284,0,-6
285,0,-6
286,0,-8
287,0,-8
