id,actual,predicted
0,0,18
1,0,18
2,0,17
3,0,17
4,0,17
5,0,15
6,0,15
7,0,15
8,0,14
9,0,14
10,0,14
11,0,12
12,0,12
13,0,11
14,0,11
15,0,10
16,0,8
17,0,8
18,0,7
19,0,7
20,0,6
21,0,5
22,0,5
23,0,5
24,0,3
25,0,2
26,0,1
27,0,1
28,0,1
29,0,1
30,0,0
31,0,0
32,0,0
33,0,-1
34,0,-2
35,0,-2
36,0,-3
37,0,-3
38,0,-4
39,0,-5
40,0,-5
41,0,-6
42,0,-7
43,0,-7
44,0,-8
45,0,-8
46,0,-8
47,0,-9
48,0,-9
49,0,-9
50,0,-10
51,0,-10
52,0,-10
53,0,-10
54,0,28
55,0,28
56,0,26
57,0,26
58,0,26
59,0,24
60,0,24
61,0,23
62,0,19
63,0,16
64,0,15
65,0,13
66,0,11
67,0,11
68,0,12
69,0,13
70,0,13
71,0,13
72,0,15
73,0,13
74,0,13
75,2,13
76,4,33
77,10,32
78,17,32
79,31,52
80,49,73
81,72,93
82,115,135
83,101,156
84,117,176
85,120,260
86,125,332
87,158,417
88,211,503
89,244,576
90,235,663
91,298,804
92,431,969
93,429,1124
94,608,1259
95,540,1416
96,519,1576
97,627,1683
98,647,1785
99,659,1888
100,791,1995
101,928,2103
102,1036,2206
103,1310,2253
104,1670,2324
105,2510,2372
106,2738,2419
107,2410,2476
108,2435,1048
109,2491,1048
110,3000,1049
111,3082,1050
112,3415,1050
113,3247,1050
114,3246,1051
115,2849,1182
116,2755,1315
117,2663,1436
118,3786,1559
119,2540,1695
120,2274,1831
121,2074,1968
122,2268,2105
123,2095,2235
124,3229,2359
125,4185,2498
126,6648,2639
127,7091,2943
128,3358,3253
129,2823,3543
130,3873,3857
131,4698,4186
132,4615,1132
133,5081,1193
134,4024,1262
135,6123,1321
136,4662,1360
137,5022,1432
138,5475,1492
139,8180,1562
140,7148,1666
141,7288,1744
142,5589,1815
143,7556,1910
144,6335,1993
145,4590,2071
146,9343,2149
147,10258,2237
148,6381,2293
149,9072,2372
150,13807,2451
151,9614,2446
152,4532,2409
153,6245,2404
154,5786,2401
155,5822,2367
156,8380,2364
157,13783,2631
158,3945,2902
159,4161,3182
160,5391,3457
161,13757,3739
162,2708,4016
163,1718,4299
164,1931,4565
165,2366,4851
166,2059,5134
167,2726,5404
168,4175,5695
169,4201,6017
170,4968,6363
171,4745,6707
172,3276,7033
173,3895,7382
174,11410,2263
175,18709,2361
176,6160,2475
177,2845,2565
178,2563,2666
179,4435,2796
180,16811,2984
181,3822,2851
182,3768,2720
183,17866,2599
184,12446,2481
185,5029,2365
186,4591,3849
187,4650,3776
188,4995,3704
189,3887,3618
190,9755,3535
191,8371,3463
192,10216,3584
193,15618,3610
194,9097,3623
195,3139,3634
196,3248,3660
197,6192,3687
198,11274,4925
199,10801,4910
200,9240,4877
201,3204,4861
202,4990,4845
203,3700,4812
204,8841,7086
205,7293,6805
206,8141,6499
207,8182,6196
208,6276,5932
209,4399,5654
210,2035,5354
211,2000,5058
212,2341,4739
213,4585,4411
214,4259,4141
215,4440,3855
216,3411,3546
217,3092,3265
218,1434,2988
219,1062,2703
220,1103,2420
221,1072,2155
222,1085,1893
223,848,1660
224,696,1440
225,618,1233
226,479,1025
227,317,817
228,215,606
229,142,510
230,99,430
231,54,337
232,25,244
233,8,165
234,1,75
235,0,54
236,0,54
237,0,33
238,0,12
239,0,12
240,0,-8
241,0,-7
242,0,-7
243,0,-6
244,0,-5
245,0,-5
246,0,-4
247,0,-4
248,0,-4
249,0,-4
250,0,-3
251,0,-3
252,0,-3
253,0,-3
254,0,-2
255,0,-2
256,0,-2
257,0,-1
258,0,-1
259,0,-1
260,0,-1
261,0,-1
262,0,-1
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,1
275,0,1
276,0,1
277,0,1
278,0,1
279,0,2
280,0,2
281,0,2
282,0,2
283,0,2
284,0,2
285,0,2
286,0,3
287,0,3
