ghi,ebh,dni,dhi,air_temp,cloud_opacity
151,72,331,80,27,10
0,0,0,0,23,0
250,131,396,118,24,9
307,226,663,81,17,0
846,694,828,151,23,1
6,2,12,4,21,2
580,413,656,167,21,5
627,221,262,406,27,25
0,0,0,0,18,0
742,616,825,126,23,0
797,661,829,136,23,0
225,117,384,107,24,9
631,494,749,136,28,0
611,474,736,136,25,0
10,2,12,8,28,17
0,0,0,0,18,0
0,0,0,0,24,0
0,0,0,0,21,36
0,0,0,0,23,35
0,0,0,0,21,63
687,537,741,150,28,2
0,0,0,0,25,41
64,16,96,47,26,23
0,0,0,0,18,7
176,87,349,87,24,7
739,567,737,171,24,4
315,220,602,96,24,0
74,16,98,57,21,21
14,3,19,11,28,17
364,258,630,105,17,2
0,0,0,0,18,2
783,577,698,207,27,15
0,0,0,0,19,0
0,0,0,0,18,0
0,0,0,0,25,6
761,616,798,146,25,0
460,343,686,117,18,2
558,245,348,312,21,20
9,1,6,8,26,36
156,54,228,103,19,17
6,2,9,4,23,0
0,0,0,0,24,19
163,96,422,67,28,4
579,314,453,265,26,13
0,0,0,0,24,55
778,630,799,149,25,0
792,579,688,214,27,5
688,562,796,126,32,0
0,0,0,0,17,0
0,0,0,0,24,44
810,660,811,150,25,0
506,384,705,122,26,0
669,506,721,162,20,4
0,0,0,0,21,0
565,451,753,114,32,3
188,94,350,94,28,12
784,636,801,148,28,0
461,360,716,101,32,6
0,0,0,0,16,0
2,0,0,2,26,34
734,615,846,118,21,0
0,0,0,0,23,0
378,271,642,107,17,2
446,298,568,149,28,7
658,534,783,124,32,0
201,103,368,97,28,11
0,0,0,0,25,52
0,0,0,0,21,37
668,554,816,114,24,0
693,510,689,182,24,6
403,194,379,209,24,14
0,0,0,0,21,63
0,0,0,0,15,0
792,647,808,145,26,0
0,0,0,0,20,0
98,15,73,83,25,35
40,1,2,40,22,78
21,33,181,21,21,78
710,573,783,137,29,1
793,613,749,180,27,23
283,202,604,82,27,8
198,111,416,86,21,2
0,0,0,0,25,19
0,0,0,0,19,0
115,77,102,114,26,83
0,0,0,0,21,22
0,0,0,0,26,2
478,82,104,396,26,36
0,0,0,0,17,0
0,0,0,0,15,1
485,360,664,126,29,3
733,604,809,130,32,0
6,2,7,5,23,12
0,0,0,0,24,27
51,22,119,50,22,72
25,3,18,22,18,31
157,90,434,67,23,0
0,0,0,0,23,40
265,186,585,79,31,7
0,0,0,0,18,0
523,114,140,409,27,35
11,3,18,8,20,3
0,0,0,0,21,0
116,42,216,74,21,9
0,0,0,0,16,0
0,0,0,0,24,14
0,0,0,0,20,0
441,249,461,192,24,14
0,0,0,0,19,46
712,576,794,136,24,0
3,0,2,3,20,38
846,695,829,150,23,1
0,0,0,0,17,0
216,4,5,213,26,72
90,42,233,47,21,6
78,8,38,71,28,42
815,679,838,136,23,0
0,0,0,0,16,0
0,0,0,0,24,18
240,36,83,202,24,39
652,285,341,367,27,21
0,0,0,0,20,76
0,0,0,0,18,0
0,0,0,0,18,0
0,0,0,0,19,13
0,0,0,0,22,13
635,522,802,114,27,0
738,601,798,137,29,0
